id,name,level,position,team,school,class_year,fantasy_points,source_roster,roster_slot,fantasy_points_source
nfl-001,Jared Goff,NFL,QB,DET,,,305.1,10,Starter,FantasyPros 2025 PPR
nfl-002,Woody Marks,NFL,RB,HOU,,,151.1,10,Starter,FantasyPros 2025 PPR
nfl-003,Nick Chubb,NFL,RB,Free Agent / No Team Listed,,,88.3,10,Starter,FantasyPros 2025 PPR
nfl-004,Marquez Valdes-Scantling,NFL,WR,DAL,,,32.0,10,Starter,FantasyPros 2025 PPR
nfl-005,Amon-Ra St. Brown,NFL,WR,DET,,,324.0,10,Starter,FantasyPros 2025 PPR
nfl-006,Marvin Mims,NFL,WR,DEN,,,93.0,10,Starter,FantasyPros 2025 PPR
nfl-007,John Bates,NFL,TE,WAS,,,27.3,10,Starter,FantasyPros 2025 PPR
nfl-008,Terrance Ferguson,NFL,TE,LAR,,,52.1,10,Starter,FantasyPros 2025 PPR
nfl-009,Trayveon Williams,NFL,RB,Free Agent / No Team Listed,,,17.1,10,Starter,FantasyPros 2025 PPR
nfl-010,Zach Charbonnet,NFL,RB,SEA,,,181.4,10,Starter,FantasyPros 2025 PPR
nfl-011,Trevor Lawrence,NFL,QB,JAX,,,350.1,10,Starter,FantasyPros 2025 PPR
nfl-012,Jacoby Brissett,NFL,QB,ARI,,,235.4,10,Bench,FantasyPros 2025 PPR
nfl-013,Michael Penix,NFL,QB,ATL,,,123.2,10,Bench,FantasyPros 2025 PPR
nfl-014,Bryce Young,NFL,QB,CAR,,,229.0,10,Bench,FantasyPros 2025 PPR
nfl-015,Jordan Love,NFL,QB,GB,,,241.3,10,Bench,FantasyPros 2025 PPR
nfl-016,Tyler Goodson,NFL,RB,ATL,,,5.2,10,Bench,FantasyPros 2025 PPR
nfl-017,Isaac Guerendo,NFL,RB,SF,,,0.0,10,Bench,FantasyPros 2025 PPR
nfl-018,Pierre Strong,NFL,RB,GB,,,0.0,10,Bench,FantasyPros 2025 PPR
nfl-019,Beaux Collins,NFL,WR,NYG,,,4.5,10,Bench,FantasyPros 2025 PPR
nfl-020,Ted Hurst,NFL,WR,TB,,,0.0,10,Bench,FantasyPros 2025 PPR
nfl-021,Brandon Aiyuk,NFL,WR,SF,,,0.0,10,Bench,FantasyPros 2025 PPR
nfl-022,Tylan Wallace,NFL,WR,CLE,,,14.5,10,Bench,FantasyPros 2025 PPR
nfl-023,Tory Horton,NFL,WR,SEA,,,65.1,10,Bench,FantasyPros 2025 PPR
nfl-024,Malik Heath,NFL,WR,ATL,,,14.6,10,Bench,FantasyPros 2025 PPR
nfl-025,Cyrus Allen,NFL,WR,KC,,,0.0,10,Bench,FantasyPros 2025 PPR
nfl-026,Cody White,NFL,WR,SEA,,,18.0,10,Bench,FantasyPros 2025 PPR
nfl-027,Jaylin Lane,NFL,WR,WAS,,,49.2,10,Bench,FantasyPros 2025 PPR
nfl-028,Allen Lazard,NFL,WR,Free Agent / No Team Listed,,,23.0,10,Bench,FantasyPros 2025 PPR
nfl-029,Devontez Walker,NFL,WR,BAL,,,37.6,10,Bench,FantasyPros 2025 PPR
nfl-030,Anthony Firkser,NFL,TE,WAS,,,13.3,10,Bench,FantasyPros 2025 PPR
nfl-031,Adam Trautman,NFL,TE,DEN,,,45.5,10,Bench,FantasyPros 2025 PPR
nfl-032,Ja'Lynn Polk,NFL,WR,NO,,,0.0,10,IR,FantasyPros 2025 PPR
nfl-033,Kurtis Rourke,NFL,QB,SF,,,0.0,10,IR,FantasyPros 2025 PPR
