id,name,level,position,team,school,class_year,fantasy_points,source_roster,roster_slot
ncaa-001,Julian Sayin,NCAA,QB,OSU,OSU,Jr,368.5,Fantrax,
ncaa-002,Daylan Smothers,NCAA,RB,Tex,Tex,Jr,199.0,Fantrax,
ncaa-003,Duke Watson,NCAA,RB,UCF,UCF,Jr,30.0,Fantrax,
ncaa-004,Jordan Shipp,NCAA,WR,UNC,UNC,Jr,191.95,Fantrax,
ncaa-005,Braylon Staley,NCAA,WR,Tenn,Tenn,So,222.0,Fantrax,
ncaa-006,Trey'Dez Green,NCAA,TE,LSU,LSU,Jr,149.0,Fantrax,
ncaa-007,Houston Thomas,NCAA,TE,TxAM,TxAM,Jr,110.0,Fantrax,
ncaa-008,Colton Joseph,NCAA,QB,Wisc,Wisc,Jr,424.35,Fantrax,
ncaa-009,Noah Kim,NCAA,QB,E Mi,E Mi,Sr,283.5,Fantrax,
ncaa-010,Giovanni Lopez,NCAA,QB,Wake,Wake,Jr,164.45,Fantrax,
ncaa-011,Drew Mestemaker,NCAA,QB,OkSt,OkSt,So,465.3,Fantrax,
ncaa-012,Kenny Minchey,NCAA,QB,KY,KY,Jr,16.7,Fantrax,
ncaa-013,AJ Swann,NCAA,QB,MissSt,MissSt,Sr,122.9,Fantrax,
ncaa-014,Jaylon Glover,NCAA,RB,UNLV,UNLV,Sr,54.0,Fantrax,
ncaa-015,Dallan Hayden,NCAA,RB,Mem,Mem,Sr,42.0,Fantrax,
ncaa-016,Brandon High,NCAA,RB,UTSA,UTSA,Jr,13.0,Fantrax,
ncaa-017,Antwan Raymond,NCAA,RB,Rut,Rut,Jr,247.0,Fantrax,
ncaa-018,Kevin RIley,NCAA,RB,Bama,Bama,Jr,70.0,Fantrax,
ncaa-019,Durell Robinson,NCAA,RB,ColSt,ColSt,Jr,14.0,Fantrax,
ncaa-020,Braylen Russell,NCAA,RB,Ark,Ark,Jr,57.0,Fantrax,
ncaa-021,Jaden Bray,NCAA,WR,WVU,WVU,Sr,18.5,Fantrax,
ncaa-022,Braylon Burnside,NCAA,WR,Mem,Mem,So,0.0,Fantrax,
ncaa-023,Matthew Coleman,NCAA,WR,SacSt,SacSt,Sr,46.0,Fantrax,
ncaa-024,Johntay Cook,NCAA,WR,Miss,Miss,Sr,126.5,Fantrax,
ncaa-025,JJ Harrell,NCAA,WR,OD,OD,So,0.0,Fantrax,
