id,name,level,position,team,classYear,fantasyPoints,sourceRoster
ncaa-58285f921c,Julian Sayin,NCAA,QB,OSU,Jr,368.5,Fantrax NCAA Player Pool
ncaa-1f961b79e0,Daylan Smothers,NCAA,RB,Tex,Jr,199.0,Fantrax NCAA Player Pool
ncaa-6070cc7a7d,Duke Watson,NCAA,RB,UCF,Jr,30.0,Fantrax NCAA Player Pool
ncaa-ba6f118989,Jordan Shipp,NCAA,WR,UNC,Jr,191.95,Fantrax NCAA Player Pool
ncaa-4e48d9c1fd,Braylon Staley,NCAA,WR,Tenn,So,222.0,Fantrax NCAA Player Pool
ncaa-ca26b53630,Trey'Dez Green,NCAA,TE,LSU,Jr,149.0,Fantrax NCAA Player Pool
ncaa-dee6c7232d,Houston Thomas,NCAA,TE,TxAM,Jr,110.0,Fantrax NCAA Player Pool
ncaa-4ed9960292,Colton Joseph,NCAA,QB,Wisc,Jr,424.35,Fantrax NCAA Player Pool
ncaa-0d7f84e799,Noah Kim,NCAA,QB,E Mi,Sr,283.5,Fantrax NCAA Player Pool
ncaa-567562a9c0,Giovanni Lopez,NCAA,QB,Wake,Jr,164.45,Fantrax NCAA Player Pool
ncaa-7363e4c528,Drew Mestemaker,NCAA,QB,OkSt,So,465.3,Fantrax NCAA Player Pool
ncaa-685065941f,Kenny Minchey,NCAA,QB,KY,Jr,16.7,Fantrax NCAA Player Pool
ncaa-9272a29355,AJ Swann,NCAA,QB,MissSt,Sr,122.9,Fantrax NCAA Player Pool
ncaa-fac028ac0c,Jaylon Glover,NCAA,RB,UNLV,Sr,54.0,Fantrax NCAA Player Pool
ncaa-9802457fb5,Dallan Hayden,NCAA,RB,Mem,Sr,42.0,Fantrax NCAA Player Pool
ncaa-87ada8d137,Brandon High,NCAA,RB,UTSA,Jr,13.0,Fantrax NCAA Player Pool
ncaa-7fc9f0c590,Antwan Raymond,NCAA,RB,Rut,Jr,247.0,Fantrax NCAA Player Pool
ncaa-b2c3dbb811,Kevin RIley,NCAA,RB,Bama,Jr,70.0,Fantrax NCAA Player Pool
ncaa-09691b3bd9,Durell Robinson,NCAA,RB,ColSt,Jr,14.0,Fantrax NCAA Player Pool
ncaa-63797f3a66,Braylen Russell,NCAA,RB,Ark,Jr,57.0,Fantrax NCAA Player Pool
ncaa-a2bea62c5b,Jaden Bray,NCAA,WR,WVU,Sr,18.5,Fantrax NCAA Player Pool
ncaa-319d87f254,Braylon Burnside,NCAA,WR,Mem,So,0.0,Fantrax NCAA Player Pool
ncaa-2bc682a035,Matthew Coleman,NCAA,WR,SacSt,Sr,46.0,Fantrax NCAA Player Pool
ncaa-7e4d20f726,Johntay Cook,NCAA,WR,Miss,Sr,126.5,Fantrax NCAA Player Pool
ncaa-53f11c2f67,JJ Harrell,NCAA,WR,OD,So,0.0,Fantrax NCAA Player Pool
ncaa-d7974c3275,Carlos Hernandez,NCAA,WR,Wake,Sr,177.0,Fantrax NCAA Player Pool
ncaa-1edf39142b,Brady Kluse,NCAA,WR,Mem,Jr,66.0,Fantrax NCAA Player Pool
ncaa-9ef40a586f,Micah Mays,NCAA,WR,Fla,Jr,69.0,Fantrax NCAA Player Pool
ncaa-c5853f9022,Kaleb Webb,NCAA,WR,MD,Sr,71.0,Fantrax NCAA Player Pool
ncaa-808d913465,Joseph Williams,NCAA,WR,Colo,Jr,123.45,Fantrax NCAA Player Pool
ncaa-4c16752c79,Tayvion Galloway,NCAA,TE,MidTN,So,6.0,Fantrax NCAA Player Pool
ncaa-80989c3c7e,Preston Howard,NCAA,TE,MD,Sr,24.0,Fantrax NCAA Player Pool
ncaa-ff72b0b64f,Braylon McReynolds,NCAA,RB,UAB,Sr,104.0,Fantrax NCAA Player Pool
ncaa-292b99e425,Wayshawn Parker,NCAA,RB,Utah,Jr,184.75,Fantrax NCAA Player Pool
ncaa-2a29487ade,Kenny Johnson,NCAA,WR,TxTch,Sr,183.0,Fantrax NCAA Player Pool
ncaa-418c14726b,Dorian Fleming,NCAA,TE,MD,Jr,127.0,Fantrax NCAA Player Pool
ncaa-98ab7a4250,Chase Sowell,NCAA,WR,PSU,Sr,106.0,Fantrax NCAA Player Pool
ncaa-a47eafc89c,Owen McCown,NCAA,QB,UTSA,Sr,323.6,Fantrax NCAA Player Pool
ncaa-6111ad31f4,Devon Dampier,NCAA,QB,Utah,Sr,391.9,Fantrax NCAA Player Pool
ncaa-22c4781a2d,Zevi Eckhaus,NCAA,QB,WaSt,Sr,245.55,Fantrax NCAA Player Pool
ncaa-235c8c8ec2,Hauss Hejny,NCAA,QB,ColSt,Fr,17.75,Fantrax NCAA Player Pool
ncaa-2f08b6d368,Mikey Keene,NCAA,QB,AzSt,Sr,0.0,Fantrax NCAA Player Pool
ncaa-6646c9c918,Julian Lewis,NCAA,QB,Colo,Fr,50.9,Fantrax NCAA Player Pool
ncaa-9ff7241811,Kadin Semonza,NCAA,QB,Tul,Jr,0.0,Fantrax NCAA Player Pool
ncaa-bf0cb99856,Rodney Tisdale,NCAA,QB,W Ky,So,136.35,Fantrax NCAA Player Pool
ncaa-9464a46780,Cedric Baxter,NCAA,RB,KY,Jr,38.0,Fantrax NCAA Player Pool
ncaa-61548a669d,Kewan Lacy,NCAA,RB,Miss,Jr,345.0,Fantrax NCAA Player Pool
ncaa-eb602d78e3,Jaylin Lucas,NCAA,RB,Tul,Sr,35.0,Fantrax NCAA Player Pool
ncaa-7163e753f9,Jamauri McClure,NCAA,RB,Tul,So,65.0,Fantrax NCAA Player Pool
ncaa-e621219c05,Nate Palmer,NCAA,RB,Wisc,So,13.0,Fantrax NCAA Player Pool
ncaa-18b50fd94c,Christian Washington,NCAA,RB,SDSU,Sr,87.0,Fantrax NCAA Player Pool
ncaa-ef480b0af7,Demitrius Bell,NCAA,WR,Neb,Jr,0.0,Fantrax NCAA Player Pool
ncaa-c0decf9fd3,Coy Eakin,NCAA,WR,TxTch,Sr,169.0,Fantrax NCAA Player Pool
ncaa-92842ca816,Cameron Flowers,NCAA,WR,W Ky,So,56.45,Fantrax NCAA Player Pool
ncaa-440aa04a95,Kyion Grayes,NCAA,WR,Cal,Jr,2.5,Fantrax NCAA Player Pool
ncaa-482984aa3f,Nathan Leacock,NCAA,WR,UNC,Jr,8.5,Fantrax NCAA Player Pool
ncaa-9ef94f06b8,Chris Marshall,NCAA,WR,Ark,Sr,110.0,Fantrax NCAA Player Pool
ncaa-83e152b214,Chrishon McCray,NCAA,WR,MSU,Sr,82.0,Fantrax NCAA Player Pool
